Hugo_Symbol,Mutation_load
GATA3,0.18961625282167044
TP53,0.13994910941475827
RUNX1,0.0684326710816777
HMGA2,0.045871559633027525
TBX3,0.034993270524899055
FOXA1,0.03389830508474576
ZFP36L1,0.026627218934911243
XBP1,0.022988505747126436
TSC22D3,0.022388059701492536
MAX,0.01875
CTCF,0.017881705639614855
TFAP4,0.01775147928994083
PITX3,0.016556291390728478
TFAP2A,0.016018306636155607
ESR1,0.015126050420168067
HOXA5,0.014814814814814815
FOSB,0.014792899408284023
POU4F2,0.014669926650366748
HMGB2,0.014354066985645933
ISL1,0.014326647564469915
PPARG,0.013861386138613862
LMO3,0.013793103448275862
NCOR1,0.013524590163934426
TBX5,0.013513513513513514
ESRRG,0.013100436681222707
CBX8,0.012853470437017995
MEIS1,0.01282051282051282
RBMX,0.01278772378516624
HOXA11,0.012779552715654952
RARB,0.012437810945273632
NUPR1,0.012195121951219513
LMO4,0.012121212121212121
DDIT3,0.011834319526627219
FOXP1,0.011816838995568686
RUNX2,0.011516314779270634
DR1,0.011363636363636364
ETS1,0.011337868480725623
NFYC,0.011299435028248588
ATF3,0.011049723756906077
ARID1A,0.010940919037199124
MYB,0.0109375
SMAD4,0.010869565217391304
HAX1,0.010752688172043012
FHL2,0.010752688172043012
HOXB13,0.01056338028169014
ELF4,0.010558069381598794
KLF13,0.010416666666666666
OTX2,0.010380622837370242
HDAC1,0.01037344398340249
POU1F1,0.010309278350515464
NR1H4,0.0102880658436214
MECP2,0.0102880658436214
ILF2,0.010256410256410256
CRX,0.010033444816053512
NELFCD,0.01001669449081803
ATF2,0.009900990099009901
HEY1,0.009868421052631578
CREB5,0.00984251968503937
ETV5,0.00980392156862745
ETV3,0.009765625
HBP1,0.009727626459143969
ELF1,0.009693053311793215
SOX6,0.00966183574879227
PCBD1,0.009615384615384616
TRAF6,0.009578544061302681
PHOX2B,0.009554140127388535
NFIB,0.009523809523809525
NF1,0.009510390982740402
ING1,0.009478672985781991
RBBP7,0.009411764705882352
TEAD1,0.009389671361502348
HMGA1,0.009345794392523364
HAND2,0.009216589861751152
BMI1,0.009202453987730062
CREG1,0.00909090909090909
TAF1,0.009081196581196582
ZFP36,0.009036144578313253
PTMA,0.009009009009009009
HOXA1,0.008955223880597015
HEY2,0.008902077151335312
CDCA7L,0.00881057268722467
